id,account_id,active_topics,bps_plan,decline_rate,purchased_posts,declined_posts,last_purchase_at,other_info,plan_words,plan_name,primary_industry,queued_posts,submitted_posts,preferred_writers,state,recently_started_on,recently_canceled_on,current_lifetime_days
14444,18060,0,Content,0.07142857142857142,13,1,2018-01-05T00:00:00.000-07:00,PARC Consulting is an IT Consulting and Staffing company.  We are building a new website for them that launches next week and we need good blog content.  ,600,Basic - 600 words,IT & Data Security,0,14,1,expired,2017-08-26T00:00:00.000-06:00,2018-02-12T00:00:00.000-07:00,187
14449,11743,7,Content,0.3333333333333333,4,2,2017-10-17T00:00:00.000-06:00,Fire Out is a startup building an Autonomous Fire Extinguisher. I'd like the medium posts to add credibility to myself and the company. ,900,Content - 900+ words,Engineering,5,13,0,expired,2017-08-27T00:00:00.000-06:00,2017-11-27T00:00:00.000-07:00,122
14450,25964,0,Content,0.38095238095238093,13,8,2018-06-19T00:00:00.000-06:00,"MJ Hybrid Solutions is an online sales training and cannabis education platform for cannabis retail professionals. We provide corporate training for dispensaries and cannabis retail stores. We are looking to start blogging on the importance of sales training in this industry, how to create the right customer experience. We are very people focused meaning our trainings put an emphasis on understanding your customer first, then being educated on what it is you are selling. Our goal is to provide short write ups that can help dispensary owners and their employees understand that what we have to offer is needed and to provide them with tips to help them be better at their job. ",600,Basic - 600 words,Cannabis,0,22,3,expired,2018-05-03T00:00:00.000-06:00,2018-06-06T00:00:00.000-06:00,61
14452,25965,4,Content,0.45454545454545453,12,10,2018-04-19T00:00:00.000-06:00,"Our blog discusses cryptocurrency trends, including ICOs, BitCoin, Ethereum and many other currencies. ",1000,Basic - 1000 words,Business Consulting,2,28,8,expired,2018-03-08T00:00:00.000-07:00,2018-05-14T00:00:00.000-06:00,67
14456,25969,2,Content,0.15789473684210525,16,3,2017-11-10T00:00:00.000-07:00,"Check out projectCBD.org

I want blogs about healthy benefits that cbd oil brings. 

Latest news and researches

Writing about any positive experiences people had ",600,Content - 600+ words,Health & Beauty,0,20,0,expired,2017-08-28T00:00:00.000-06:00,2017-11-10T00:00:00.000-07:00,80
14461,25925,0,+Optimize,0.28846153846153844,37,15,2018-03-22T00:00:00.000-06:00,,300,Basic - 300 words,Other,0,52,3,active,2018-04-20T00:00:00.000-06:00,,77
14462,25925,0,+Optimize,0.37209302325581395,27,16,2018-05-14T00:00:00.000-06:00,,300,Basic - 300 words,Other,0,44,3,active,2018-04-20T00:00:00.000-06:00,,77
14463,25925,0,+Optimize,0.1,18,2,2018-01-31T00:00:00.000-07:00,,300,Basic - 300 words,Other,0,20,3,expired,2017-08-28T00:00:00.000-06:00,2018-02-26T00:00:00.000-07:00,184
14464,25974,2,Content,0.0,13,0,2018-06-25T00:00:00.000-06:00,,600,Basic - 600 words,E-commerce,2,15,5,active,2017-08-28T00:00:00.000-06:00,,312
14465,25884,8,Content,0.08695652173913043,21,2,2018-05-09T00:00:00.000-06:00,,600,Basic - 600 words,Real Estate (Residential),4,27,22,active,2017-08-28T00:00:00.000-06:00,,312
14467,17218,40,Content,0.0,3,0,2017-09-15T00:00:00.000-06:00,"Very generally, Trade-Serve provides software that helps people (both the user and their customers)

Mainly target residential contractors or teams of 3-10 people that mostly service homeowners

Main introduction video from home page: https://www.youtube.com/watch?v=rxUfjFqXpPc

More videos at https://www.trade-serve.com/video",250,Content - 250+ words,Business Consulting,4,9,1,expired,2017-08-28T00:00:00.000-06:00,2017-10-05T00:00:00.000-06:00,42
14468,25210,1,+Optimize,0.0,28,0,2018-03-01T00:00:00.000-07:00,,300,Basic - 300 words,Travel,0,35,0,expired,2017-08-28T00:00:00.000-06:00,2018-02-06T00:00:00.000-07:00,178
14469,24743,4,Content,0.18421052631578946,31,7,2018-07-03T00:00:00.000-06:00,"We would like to focus on tips, holiday ideas, hacks, and blogs that would help our mothers of children that follow our pages.

Please focus on helpful content for MOMS",300,Basic - 300 words,Education,132,176,25,active,2017-08-28T00:00:00.000-06:00,,312
14472,25977,5,+Optimize,1.0,0,1,,"Law firm practicing in the state of Louisiana. Areas of practice: DWI Defense, Family Law, Personal Injury, Wrongful Death. Blog must be relevant to Louisiana law and statute, as it varies from state to state. ",600,Content - 600+ words,Legal,2,4,1,expired,2017-08-29T00:00:00.000-06:00,2017-09-01T00:00:00.000-06:00,3
14474,23007,0,Content,0.043478260869565216,22,1,2018-01-30T00:00:00.000-07:00,Please write for USA audience with US grammar and spelling and also using research and sources related to the USA.,1000,Basic - 1000 words,Healthcare/Medical,0,24,9,expired,2017-08-29T00:00:00.000-06:00,2018-01-30T00:00:00.000-07:00,183
14476,25980,1,+Optimize,0.0,32,0,2018-05-03T00:00:00.000-06:00,"I am looking for useful local content. 
I want people to engage with our blogs as well as being informative
I am looking for current trends / news
Topics that can tie in photography with marketing a business and improving business growth
Photography inovations
New brands that have had amazing videography or photography done 

",600,Basic - 600 words,Photography,0,38,1,expired,2018-02-24T00:00:00.000-07:00,2018-04-16T00:00:00.000-06:00,59
14478,25982,0,Content,0.0,6,0,2017-11-06T00:00:00.000-07:00,"Our website is currently going an overhaul due to the decision to go in a different direction.

we are going to be aiming for the lower-mid level small business. we will offer local listing management, seo/content services, and web design. we build websites with primarily with divi (the theme Divi from elegantthemes.com), but work with any wordpress site for SEO.

the posts should be aimed towards a business owner, and for the most part be related to services we offer.
",600,Content - 600+ words,SEO/Content,0,6,1,expired,2017-08-29T00:00:00.000-06:00,2017-11-06T00:00:00.000-07:00,94
14479,25983,1,Content,0.13333333333333333,13,2,2018-06-03T00:00:00.000-06:00,"We want to improve the SEO ranking for vape industry keywords such as ""vape juice"", ""eliquid"", ""ejuice"", ""ecig juice"" and others. 

Our brand is cool and so the content should be lighthearted. I like The Hundreds streetwear blog https://thehundreds.com/blogs/content/how-gildan-became-the-biggest-name-in-streetwear

The biggest opportunity for us is to attract new vapers. Its a new industry so content on how to get started is helpful. Also a lot of people are quitting smoking and switching to vape for the health benefits so this is another opportunity. Finally the industry is facing a lot of regulation in the future so content around regulations around the US and the world will draw a lot of attention to our site.

We have someone that can create great images and videos to go with the content.",600,Basic - 600 words,Retail,5,20,4,expired,2017-08-29T00:00:00.000-06:00,2018-06-06T00:00:00.000-06:00,292
14480,25984,3,+Optimize,0.0,1,0,2017-09-06T00:00:00.000-06:00,"We're a uk based superhero store. We're only online at the minute with the view to having our own brick and mortar store within 5 years. We love superheroes and all the latest superhero news, tv shows and comics etc. Our tone of voice is quirky and friendly, say talking to your friend in the local bar.",600,Content - 600+ words,Fashion & Apparel,3,4,0,expired,2017-08-29T00:00:00.000-06:00,2017-10-15T00:00:00.000-06:00,61
14481,25124,0,Content,0.0,2,0,2017-09-30T00:00:00.000-06:00,"Design Health provides health insurance solutions for small businesses, families and individuals in the State of Colorado.  
Their number 1 focus is getting small business clients (2-50 employees).  Unlike most healthcare insurance companies  though, they don't sell group policies.  They set up and manage something called a ""Defined Contribution Health Plan "".  It's also called a section 105 plan or HRA.  The difference is that the employee gets to pick their own plan, own carrier and take the plan with them if they leave.  The employer then gives whatever amount of money they've decided on  each month, tax free to the employee to pay for their health care.  

They do sell to individuals and families, but businesses are the number 1 focus. ",600,Content - 600+ words,Insurance,0,2,12,expired,2017-08-29T00:00:00.000-06:00,2017-11-09T00:00:00.000-07:00,92
14484,25987,0,BlogMutt Complete,0.2619047619047619,31,11,2018-03-09T00:00:00.000-07:00,"Who We Are- The goal at Lux Box is to provide a fun and convenient shopping experience for our clients from the comfort of their home. By blending the expertise of our personal stylists with the style profiles of our customers, we can provide a customized, painless, and exhilarating styling/shopping experience. Here at Lux Box, we are here to guarantee that our customers will look fabulous and enhance their wardrobe with clothing choices that they will feel confident wearing, all done at their convenience.  

We are a subscription based personal styling clothing company. I am listed a few blog websites that I really love.
myfashdiary.com; hellofashionblog.com; harperandharley.com; thedaileigh.com; kyrzayda.com",600,Basic - 600 words,Fashion & Apparel,4,47,5,expired,2017-12-12T00:00:00.000-07:00,2018-03-27T00:00:00.000-06:00,105
14487,25804,0,Content,0.2,4,1,2018-01-20T00:00:00.000-07:00,"Julianne wants to promote herself as an industry leader in residential real estate in the Surrey, B.C. area. 

She has lived her whole life in the lower mainland region of Vancouver, B.C. and takes great pleasure in helping people ""turn their house into a home"".

She cares tremendously about other people and is always looking for a way to help. She wants to drive traffic to her website and blog. The people who we want to be heading to her blog would be first-time home buyers, people looking up houses for sale online in the Surrey/White Rock area, people who are looking for information on real estate trends in those areas. ",600,Basic - 600 words,Real Estate (Residential),0,5,2,expired,2017-10-03T00:00:00.000-06:00,2018-01-18T00:00:00.000-07:00,123
14488,25990,6,+Photo,0.3113207547169811,73,33,2018-07-02T00:00:00.000-06:00,"We are a retail energy provider for businesses, which mean we serve electricity and natural gas to businesses in deregulated states and provinces. Our blog is primarily used as a tool to inform customers about what we actually do, which can be confusing (especially for small business owners/startups). We also use the blog as way to update our larger clientele on market conditions that could impact pricing. Our company motto is ""simple, friendly, direct"" - and that's exactly the tone we're looking for on our blog.  ",1500,Basic - 1500 words,Other,2,116,6,active,2017-08-30T00:00:00.000-06:00,,310
14489,25982,0,Content,0.3333333333333333,2,1,2017-11-05T00:00:00.000-06:00,"This is a plastic surgeon's website. He is VERY concerned with having a writer say something that would get him in trouble...meaning something he's not allowed to say legally, or that's not true in general or for his business, etc.",600,Content - 600+ words,Healthcare/Medical,0,3,1,expired,2017-10-01T00:00:00.000-06:00,2017-11-06T00:00:00.000-07:00,61
14492,25993,1,Content,0.5384615384615384,12,14,2017-11-16T00:00:00.000-07:00,"Please check out our blog.  A few websites that I love are:
camillestyles.com
waitingonmartha.com
ladolcevita.com",300,Basic - 300 words,Interior Decoration,8,36,0,expired,2017-08-30T00:00:00.000-06:00,2018-03-01T00:00:00.000-07:00,212
14496,25997,1,Content,1.0,0,3,,"Our company is building a backlog of blogs and ebooks for our clients to enter into content workflows and ultimately convince them to become potential clients. We are a free-spirited, hard working firm that does not currently have time for writing this content bank. ",250,Content - 250+ words,Marketing & Advertising,3,6,0,expired,2017-09-05T00:00:00.000-06:00,2017-10-05T00:00:00.000-06:00,30
14497,25998,0,Content,0.37777777777777777,28,17,2018-03-24T00:00:00.000-06:00,"
",300,Basic - 300 words,Health & Beauty,0,45,2,expired,2017-08-31T00:00:00.000-06:00,2018-03-24T00:00:00.000-06:00,212
14504,26006,1,Content,0.0,2,0,2017-10-18T00:00:00.000-06:00,"We´re a Norwegian menswear brand making dress shirts for men. Our signature is the ""Extreme Cutaway Collar"" and we do free world wide shipping. Our shirts start at $59, which we belive is very reasonable and great value. We take big pride in our customer service, and our customers appreciate how available we are. We do try to keep an informal tone in our communication.
We really like the blog posts/landing pages from Proper Cloth. Examples:
https://propercloth.com/try/7-reasons-1a/

http://propercloth.com/reference/dress-shirts-split-yoke-vs-one-piece-yoke/",300,Basic - 300 words,Fashion & Apparel,8,10,0,expired,2017-08-31T00:00:00.000-06:00,2018-01-31T00:00:00.000-07:00,171
14505,26006,2,Content,0.0,3,0,2017-10-18T00:00:00.000-06:00,"SMUGS is a new slip-on loafers brand making shoes that looks smug. The shoes are made in untraditional shoe fabrics as canvas and tweed. We also have a line of suede loafers. 
These are informal shoes, but goes well to liven up a formal look/clothes. ",300,Basic - 300 words,Fashion & Apparel,11,16,0,expired,2017-08-31T00:00:00.000-06:00,2018-01-31T00:00:00.000-07:00,181
14510,26011,2,Content,0.0380952380952381,101,4,2018-07-05T00:00:00.000-06:00,,1000,Basic - 1000 words,Education,1,106,2,active,2018-04-23T00:00:00.000-06:00,,74
14511,26012,0,Content,0.11904761904761904,37,5,2018-06-29T00:00:00.000-06:00,"We are a very niche publisher of program books for the performing arts industry and we work nationwide. We have just added a line to our business where we install digital signage in performing arts venues nationwide and manage it all from our office in Dayton, OH. We are laid back and like a bit of humor thrown into our blog posts.

We have two types of audiences:
1. Performing arts venues (to convince them that we can publish their program books better than they can, as well as manage their venue digital signage better than they can)
2. Advertisers (to convince advertisers large and small that performing arts program books and digital signage advertising is a cost effective way to reach a hard to reach audience.)",600,Basic - 600 words,Marketing & Advertising,0,44,4,active,2017-08-31T00:00:00.000-06:00,,309
14519,26020,1,+Optimize,0.35294117647058826,11,6,2018-06-28T00:00:00.000-06:00,"We are a 100 year old law firm in Texas. Very conservative in these parts. We focus on the following practice areas of the law:

Agriculture
Banking
Bankruptcy and Creditors’ Rights
Business and Corporate
Construction
Employment
Estate Planning and Probate
Family
Healthcare
Immigration
Intellectual Property
Litigation
Municipal
Oil, Gas, and Mineral
Public Education
Public Finance
Real Estate
Renewable Energy
Tax

I would like to feature one section per month as there are some areas that have not been written about in years on our site. Speaking of our site, it was just redone at the beginning of the year. ",600,Annual Basic - 600 words,Legal,1,18,1,active,2017-08-31T00:00:00.000-06:00,,309
14524,20952,5,Content,0.0,12,0,2018-02-28T00:00:00.000-07:00,,300,Basic - 300 words,Real Estate (Residential),9,24,1,expired,2017-09-01T00:00:00.000-06:00,2018-02-01T00:00:00.000-07:00,181
14525,23391,5,Content,0.2857142857142857,5,2,2018-01-11T00:00:00.000-07:00,"KPInterface is a provider of IT support and IT management services for businesses (medium to small) in the Greater Philadelphia area. We deliver intensive pro-active network management services combined with highly responsive re-active support, including Helpdesk, on-site IT support, IT project expertise and specialized IT resources that can help drive your business’s technology. We are capable of acting as your company’s entire IT department or we can augment your existing team with additional support and consulting. We support technology for more than 150 companies in the Greater Philadelphia region ranging in size from 5-500 employees.",300,Basic - 300 words,IT & Data Security,2,10,5,expired,2017-09-01T00:00:00.000-06:00,2018-01-31T00:00:00.000-07:00,153
14526,26026,2,+Optimize,0.39285714285714285,34,22,2018-07-01T00:00:00.000-06:00,"We are in a two week countdown to launch, anyone who knows anything about crypto will know how important that is.  The blogs are intended to be promotional but build buyer confidence and will often be directly linked to in advertising.  So, when appropriate, we will want call to action.

Here's some potential topics to get you going:
A. Revolutionizing Web Hosting
B. Security
C. Why we started this project
D. Solving Problems

There's also a white paper that you can get a lot of details from as well as the YouTube videos that we are putting out now - one new one a day.",300,Basic - 300 words,Other,4,63,5,active,2017-09-01T00:00:00.000-06:00,,308
14527,13990,16,Content,0.1111111111111111,8,1,2017-12-22T00:00:00.000-07:00,"We hope you can find everything you need. A$AP TAX is focused on providing high-quality service and customer satisfaction – we will do everything we can to meet your expectations.

With a variety of offerings to choose from, we’re sure you’ll be happy working with us. Look around our website and if you have any comments or questions, please feel free to contact us.",250,Content - 250+ words,Accounting & Finance,3,21,0,expired,2017-09-01T00:00:00.000-06:00,2017-12-18T00:00:00.000-07:00,122
14529,22830,1,Content,0.75,6,18,2018-03-22T00:00:00.000-06:00,,300,Basic - 300 words,Education,16,40,0,active,2017-09-05T00:00:00.000-06:00,,304
14530,26028,2,+Optimize,0.22727272727272727,34,10,2018-06-15T00:00:00.000-06:00,Solomon & Sons Relocation is a full servicing moving company based in South Florida. Servicing all states in America we look to help all those in need of a reliable mover. We are looking to improve on our SEO rating by updating content on our blog post weekly. Anything from tips to how to pack or even how to save on moving boxes when relocating on a budget can be relevant blog posts to our user network. ,600,Annual Basic - 600 words,Transportation & Logistics,2,46,2,active,2018-06-05T00:00:00.000-06:00,,31
14533,21174,16,Content,0.2857142857142857,50,20,2018-06-26T00:00:00.000-06:00,"orthodontic information for both adults and children, such as braces, cleaning orthodontia, why we need orthodontia, etc

general dentistry topics to include cosmetic dentistry, general cleaning guidelines, etc

also invisalign topics",600,Basic - 600 words,Other,8,80,22,active,2017-09-02T00:00:00.000-06:00,,307
14534,23944,0,Content,0.06666666666666667,14,1,2018-02-15T00:00:00.000-07:00,"We need articles that are rich in content for gardening. Whether it be expertise on growing specific plants and veggies, to repelling specific insects from the garden. We also require articles that explain health benefits of fruits and veggies etc.",1500,Basic - 1500 words,Garden & Floral,0,15,5,expired,2017-09-02T00:00:00.000-06:00,2018-02-18T00:00:00.000-07:00,181
14539,26035,7,+Optimize,0.2857142857142857,15,6,2018-07-05T00:00:00.000-06:00,"I'm a local realtor that specializes in Stapleton, Denver CO. (80238 zip code)
I'd like blogs that were about fun things for families to do in denver, but also have an emphasis in Stapleton.",600,Basic - 600 words,Real Estate (Residential),6,28,1,active,2017-09-20T00:00:00.000-06:00,,289
14542,26038,2,Content,0.4444444444444444,10,8,2018-02-21T00:00:00.000-07:00,"I am looking for someone to create emotionally charged content... could be entertaining, could be inspirational, could be educational... hopefully you know about some of the challenges that property owners go through.... specifically divorce, bankruptcy, probate, vacancy, landlording, tax sales, foreclosure, etc. ",2000,Basic - 2000 words,Real Estate (Residential),0,19,2,expired,2017-10-16T00:00:00.000-06:00,2018-03-12T00:00:00.000-06:00,175
14543,26039,4,+Photo,0.03225806451612903,30,1,2018-05-17T00:00:00.000-06:00,"eyewa.com is an e-commerce for eyewear (sunglasses, prescription glasses and contact lenses) targeting the Middle East. We built eyewa to provide an easy, affordable and trustworthy fashion-focused experience. At eyewa, you can browse and compare thousands of frames with a click of a button, and order trendy, authentic glasses, sunglasses and contact lenses without breaking your wallet.

Please feel free to write about anything you feel would be a good addition to our website, for example, an informational piece about prescription glasses, something exploring culture and eyewear, or any other type of content that might be interesting for our visitors. Kindly explain your thought process on why you chose the topic, and what you would want to add to the article in terms of pictures/gifs/video.

Our core target audience is 20-35 years old, 60% female 40% male,  expatriates and locals in UAE/KSA with mid-to-high income.

Here are a few pointers:
Make sure that the post is complete. The visitor should find the complete answer of the topic in question in the blog post.
Write using short sentences. We are targeting a mobile first market and therefore the text should be mobile friendly.
Optimize on relevant key words depending on topic (Sunglasses / Prescription glasses 
/ contact lenses + brands names that are known for these + geographical (UAE / Dubai / Abu Dhabi and KSA / Riyadh / Jeddah)

We will review your deliverable and may ask for 1 revision. All feedback from us will be consolidated in one email.",600,Basic - 600 words,E-commerce,4,35,9,expired,2017-09-03T00:00:00.000-06:00,2018-05-17T00:00:00.000-06:00,274
14544,26040,1,Content,0.0,5,0,2017-12-07T00:00:00.000-07:00,"Hello!
I operate a photography business that specializes in the wedding and lifestyle family genre in southern New Jersey, outside of Philadelphia. Blogging is an important part of my industry and I struggle to keep up with it in addition to the fact that I don't really enjoy doing it. I'm looking for the 300 word mark for my posts, not too much more than that. Enough content about the clients story that the narrative along with some images from the day will give the viewer a true sense of the wedding day.
My client avatar is a young (20s- early 30s) ambitious couple who doesn't settle for the status quo life. They are likely entrepreneurial minded and still in the early stages of their career. They have a great sense of humor and are grateful for the life they have. Also, super important, they are crazy in love and not just getting married because it is the next step. They also care more about WHO is at their wedding than what (details). Oh yeah, and they don't mind meeting up with me for a glass of wine every now and then!
I'm not sure if it's possible for a stranger to write a blog entry about something as personal as a couples wedding day but I'm hoping that it is!!
",250,Content - 250+ words,Photography,4,9,2,expired,2017-10-24T00:00:00.000-06:00,2017-12-13T00:00:00.000-07:00,61
14548,25543,3,Content,0.0,6,0,2017-10-22T00:00:00.000-06:00,,600,Content - 600+ words,Construction,4,10,0,expired,2017-09-03T00:00:00.000-06:00,2017-11-11T00:00:00.000-07:00,91
14552,21174,4,Content,0.23076923076923078,20,6,2018-01-17T00:00:00.000-07:00,informational blogs for general dentists and pediatric dentists,300,Basic - 300 words,Other,9,45,22,expired,2017-09-04T00:00:00.000-06:00,2018-01-23T00:00:00.000-07:00,153
14554,26048,5,+Optimize,0.5961538461538461,21,31,2018-03-14T00:00:00.000-06:00,"Idaho Jones is a lifestyle brand for parents. In time, we will build a range of products that will provide ""a bag for every aspect of your family life"".

Our first product is a diaper backpack. Our next product which is still in the pipeline is a backpack to carry breast pumps and milk targeted to working mothers.

We embrace the motto ""functional elegance"". Therefore, our bags are stylish but have lots of practical features.

Underlying all this is the following philosophy:

With our products, we aim to help parents to:
•	save time
•	be organised and
•	simplify and declutter their lives 
so that they can focus on what is important in life: 
•	their mental and physical well-being
•	their relationship with each other
•	spending time with their children and 
•	helping them grow into capable and loving adults 

With our blog posts, we are trying to link our brand with these ""important"" elements in parents' lives.

STYLE GUIDELINES

Spelling and terminology: 
We are a British company and would like to our copy to reflect our identity. We would prefer British spelling and terminology.  Please refer to the Oxford English Dictionary.

Tone:
We are trying to sell to millennial parents of young children. Within that group, our niche is those with busy lifestyles, those that favour practicality over form and do not have much time to waste.
To get the attention of our niche, our voice needs to be honest/realistic, direct and sticking to the facts while keeping it humorous and witty. 

",600,Basic - 600 words,Fashion & Apparel,2,61,1,expired,2017-09-06T00:00:00.000-06:00,2018-03-28T00:00:00.000-06:00,212
14555,25124,0,Content,0.0,2,0,2017-09-13T00:00:00.000-06:00,,600,Content - 600+ words,Fitness,0,2,12,expired,2017-09-05T00:00:00.000-06:00,2017-10-23T00:00:00.000-06:00,61
14560,26053,1,+Optimize,0.4358974358974359,44,34,2018-06-24T00:00:00.000-06:00,"We design and manufacture 3D printer for Education. Our primary market is schools/teachers but we like to post out blogs that show the capabilities of 3D printing and the impact 3D printing will have on the world. 

We like our pieces to be topical pieces that then inspire schools to purchase our printers as they see the benefits of exposing students to the technology.",300,Basic - 300 words,Education,10,89,1,active,2017-09-13T00:00:00.000-06:00,,296
14564,26056,3,Content,0.23529411764705882,13,4,2017-10-09T00:00:00.000-06:00,"We are a global manufacturer and distributor of Apollo caffeinated energy gum. We pride ourselves in using premium ingredients that have multiple healthy ingredients. Our target audience varies from the hard working laborers, mothers, and executives to professional athletes and health fanatics. One of the key ingredients, Xylitol, has been getting great press in regard to the positive health benefits it has on teeth, including strengthening tooth enamel, reducing bad bacteria, and regulates the PH balance.  Each piece of gum is the equivalent of a small energy drink. When's the last time you could carry 5 energy drinks in your pocket?

*POSTS WILL BE REJECTED IF THESE RULES AREN'T MET*
1. Every post must have at least 3 recent, sourced, and linked external facts which include numerical values or quotes. 
2. Excessive coverage of any specific topic by a single user is not allowed and will be rejected.
3. Happy, Positive tone! 

4. Focus on the new category of caffeinated energy gum, health benefits of Xylitol, positive effects of caffeine on performance, and other fun use cases or selling points of an energy product you can keep in your desk, pocket, or car. 

5. You can mention the company name, only if it's relevant to the content. Please do not make the content about the company.

",600,Content - 600+ words,Retail,2,19,0,expired,2017-09-06T00:00:00.000-06:00,2017-10-09T00:00:00.000-06:00,33
14565,21174,5,Content,0.0,4,0,2017-09-27T00:00:00.000-06:00,,250,Content - 250+ words,Other,4,9,22,expired,2017-09-06T00:00:00.000-06:00,2017-09-27T00:00:00.000-06:00,30
14566,26059,2,Content,0.034482758620689655,28,1,2018-03-27T00:00:00.000-06:00,"We want posts on two major topics:

Contractor's Business - customer service for contractors, time management, proposals, marketing, other work skills

Safety - OSHA Rules, how to prevent accidents, how to do safety meetings, how to reduce accident costs

Facebook page - https://www.facebook.com/AmericanContractorsOrganizationInc/ - has examples of curated content.",300,Basic - 300 words,Home Repair & Home Maintenance,3,34,9,expired,2017-09-06T00:00:00.000-06:00,2018-04-11T00:00:00.000-06:00,242
14567,26060,4,Content,0.0,1,0,2017-09-13T00:00:00.000-06:00,"We are new ecommerce startup looking to bring this amazing new MagicTape product to market.  Here are the types of blog posts we are interested in: http://www.socialmediaexaminer.com/12-types-of-blog-posts/

Our Fun Packs are the focus although we sell individual rolls too.

We want to educate the marketplace about how the product can be used and how much fun it is.  Parents, grandparents, family, and friends of family is the target audience.",600,Content - 600+ words,E-commerce,4,7,0,expired,2017-09-06T00:00:00.000-06:00,2017-10-12T00:00:00.000-06:00,61
14569,22245,0,Content,0.5,1,1,2017-09-25T00:00:00.000-06:00,"Write up to 1000-1200 words in each article with relevant images (loyalty free or as references with source).
Each article should be broken in 5-6 different headlines. (except reviews articles)
Maximum length of each paragraph should be 75 words for each article.
Article should not be written covering keywords but more user intend.
You can use references, quotes and data with source to justify the topic.
You can use comparison table for easy to read and scan the article whenever required.",1200,Content - 1200+ words,Business Consulting,0,2,7,expired,2017-09-06T00:00:00.000-06:00,2017-09-25T00:00:00.000-06:00,30
14570,26062,3,Content,0.2,4,1,2018-06-15T00:00:00.000-06:00,"VIX Verify is an Australian-based B2B company that is one of the leaders in customer onboarding and identity verification solutions in Australia. VIX Verify was established in 2008 and has over 350 customers from the financial services (including the Big 4 Australian banks), forex, telecom, education, gaming and government sectors. VIX Verify’s onboarding and identity solution – greenID – integrates numerous identity verification applications including data, documents and biometrics through a flexible multi-channel platform.
We are looking to use blogs to build awareness about our services among companies seeking to verify the identity of their customers using:
•	Global data sources
•	Global Sanctions and PEP lists
•	Fraud detection
•	Global document verification
•	Biometric verification

We are looking for blog topics that are Australia-specific in the following areas:
1.	Identity verification
2.	Real time Customer onboarding leading to improved customer experience
3.	Mobile onboarding
4.	Anti Money Laundering (AML)
5.	Counter Terrorism Financing (CTF)
6.	Know your Customer (KYC)
7.	Electronic verification/ Online Verification 
8.	Business verification
9.	PEP/Sanctions/Watchlist screening
10.	Biometrics
11.	Customer due diligence
12.	Online verification
13.	Identity theft/fraud
14.   Data Security 
15 . Privacy Protection
",600,Basic - 600 words,Other,1,6,2,active,2018-04-20T00:00:00.000-06:00,,77
14574,20243,8,Content,0.0,16,0,2017-12-15T00:00:00.000-07:00,"The main goal of our blog is to show agents and brokers that we can provide all of the services a national title company can provide and more. We’re here to be a solid resource for the Tampa Bay Real Estate Community

These are some of the most resourceful sites that we would like to reference and also match in style and content

http://rismedia.com/

https://www.inman.com/

https://www.zillow.com/blog

https://www.realtor.com/

http://blog.narrpr.com/

https://www.trulia.com/blog

https://www.zillow.com/research

http://www.houselogic.com/home-improvement/


Here are the categories we want to place our articles in. 

News
Best Practices
Marketing
Technology
Social Media
Advice
Events
",600,Basic - 600 words,Real Estate (Residential),1,36,15,expired,2017-09-09T00:00:00.000-06:00,2017-12-15T00:00:00.000-07:00,122
14575,26066,1,+Optimize,0.0,4,0,2017-10-16T00:00:00.000-06:00,"The purpose of the Vermillion Sky blog is to attract new customers. I get that it's the purpose of many other blogs, but I want to educate my potential customers so that they can convert and become buyers of our service. We sell app design services. We build and design mobile and web apps. When it comes to our brand, I'd like to appear fun and knowledgeable similar to this guy's presentation style (https://www.youtube.com/watch?v=cmGr0RszHc8) (you don't have to watch the whole video)

We have a list of personas that we want to target: https://docs.google.com/presentation/d/1SMFTBGKNWAhIO7-WLY7oUoveaGtZUweVRoZ0R5QbRIs/edit?usp=sharing

Please let me know if you need anything else.
",900,Content - 900+ words,Business Consulting,2,7,0,expired,2017-09-16T00:00:00.000-06:00,2017-11-28T00:00:00.000-07:00,73
14576,26067,3,+Optimize,0.4444444444444444,5,4,2018-01-16T00:00:00.000-07:00,"Our company is looking to build a consistent online presence, and develop community through sharing content that helps our ideal client solve their pain points. 

We would like our writing samples to around the following topics:

1. The benefits of utilizing Office 365 for your organization.
2. The benefits of having an up-to-date Business Continuity Plan

",1000,Basic - 1000 words,IT & Data Security,0,15,3,expired,2017-10-24T00:00:00.000-06:00,2018-02-05T00:00:00.000-07:00,104
14577,26069,1,Content,0.0,6,0,2017-11-17T00:00:00.000-07:00,"I have nearly completed a rebrand initiative... from EdTech Skills Development (educational technology market focus) to PROPEL Skills Development (more general focus). My writing style is fairly loose and humorous, with references to movies and pop culture. Would like to continue to balance this style with professionalism and expertise in my subject matter.

Other note: Under EdTech Skills Development, I covered general selling and sales presentation skills. Under the new PROPEL brand, I want to bias material more toward sales presentations. Once I grease the skids and win general market clients, I will begin to incorporate general selling skills into my portfolio. This is how I built EdTech Skills Development.",300,Basic - 300 words,Business Consulting,8,15,0,expired,2017-09-07T00:00:00.000-06:00,2018-01-19T00:00:00.000-07:00,153
14578,26068,0,Content,,0,0,,,1000,Basic - 1000 words,Accounting & Finance,0,0,6,expired,2018-01-19T00:00:00.000-07:00,2018-04-24T00:00:00.000-06:00,97
